"","Project","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Sample_ID","Volume_mL","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"120","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230603_15CM",2,NA,20230603,1436,1400,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"121","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230603_15CM",2,NA,20230603,1436,1400,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"122","COMPASS","TEMPEST","FW","B4",15,NA,NA,"TMP_FW_B4_20230515_15CM",5,NA,20230515,1324,1645,NA,0.7675,0.0239,NA,NA,30.1197,0.8496,NA,NA,0.0545,NA,NA,NA
"123","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230515_15CM",5,NA,20230515,1321,1655,NA,4.9565,0.1546,NA,NA,24.266,0.6845,NA,NA,0.0439,NA,NA,NA
"124","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230603_15CM",2,NA,20230603,1334,1546,NA,6.9627,0.2172,NA,NA,0,0,NA,NA,0,NA,NA,NA
"125","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230603_15CM",2,NA,20230603,1334,1546,NA,6.9627,0.2172,NA,NA,0,0,NA,NA,0,NA,NA,NA
"126","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230603_15CM",2,NA,20230603,1334,1546,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"127","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230603_15CM",2,NA,20230603,1334,1546,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"128","COMPASS","TEMPEST","FW","C6",15,NA,NA,"TMP_FW_C6_20230515_15CM",5,NA,20230515,1326,1628,NA,4.749,0.1481,NA,NA,23.8922,0.674,NA,NA,0.0432,NA,NA,NA
"129","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230515_15CM",5,NA,20230515,1050,1637,NA,4.6013,0.1435,NA,NA,0,0,NA,NA,0,NA,NA,NA
"130","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230603_15CM",2,NA,20230603,1326,1552,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"131","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230603_15CM",2,NA,20230603,1326,1552,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"132","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230603_15CM",2,NA,20230603,1326,1552,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"133","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230603_15CM",2,NA,20230603,1326,1552,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"134","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230605_15CM",5,NA,20230605,1519,1547,NA,0,0,NA,NA,37.6162,1.0611,NA,NA,0.068,NA,NA,NA
"135","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230605_15CM",5,NA,20230605,1519,1547,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"136","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230605_15CM",5,NA,20230605,1519,1547,NA,0,0,NA,NA,37.6162,1.0611,NA,NA,0.068,NA,NA,NA
"137","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230605_15CM",5,NA,20230605,1519,1547,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"138","COMPASS","TEMPEST","FW","E3",15,NA,NA,"TMP_FW_E3_20230515_15CM",5,NA,20230515,1734,1317,NA,0.8464,0.0264,NA,NA,30.2239,0.8526,NA,NA,0.0546,NA,NA,NA
"139","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230605_15CM",2,NA,20230605,1524,1521,NA,11.8708,0.3703,NA,NA,0,0,NA,NA,0,NA,NA,NA
"140","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230605_15CM",2,NA,20230605,1524,1521,NA,11.8708,0.3703,NA,NA,0,0,NA,NA,0,NA,NA,NA
"141","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230605_15CM",2,NA,20230605,1524,1521,NA,11.898,0.3711,NA,NA,0,0,NA,NA,0,NA,NA,NA
"142","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230605_15CM",2,NA,20230605,1524,1521,NA,11.898,0.3711,NA,NA,0,0,NA,NA,0,NA,NA,NA
"143","COMPASS","TEMPEST","FW","F6",15,NA,NA,"TMP_FW_F6_20230515_15CM",5,NA,20230515,1314,1746,NA,0,0,NA,NA,24.6057,0.6941,NA,NA,0.0445,NA,NA,NA
"144","COMPASS","TEMPEST","FW","H3",15,NA,NA,"TMP_FW_H3_20230515_15CM",5,NA,20230515,1038,1715,NA,1.7905,0.0558,NA,NA,29.3985,0.8293,NA,NA,0.0531,NA,NA,NA
"145","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230515_15CM",5,NA,20230515,1040,1734,NA,1.5176,0.0473,NA,NA,27.5025,0.7758,NA,NA,0.0497,NA,NA,NA
"146","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230515_15CM",5,NA,20230515,1036,1726,NA,0,0,NA,NA,25.359,0.7153,NA,NA,0.0458,NA,NA,NA
"147","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230603_15CM",2,NA,20230603,1305,1609,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"148","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230603_15CM",2,NA,20230603,1305,1609,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"149","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230603_15CM",2,NA,20230603,1305,1609,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"150","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230603_15CM",2,NA,20230603,1305,1609,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"151","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230515_15CM",5,NA,20230515,1059,1511,NA,4.4366,0.1384,NA,NA,26.1651,0.7381,NA,NA,0.0473,NA,NA,NA
"152","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230603_15CM",2,NA,20230603,1405,1506,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"153","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230603_15CM",2,NA,20230603,1405,1506,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"154","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230603_15CM",2,NA,20230603,1405,1506,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"155","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230603_15CM",2,NA,20230603,1405,1506,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"156","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230515_15CM",5,NA,20230515,1102,1537,NA,11.635,0.3629,NA,NA,28.1102,0.793,NA,NA,0.0508,NA,NA,NA
"157","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230603_15CM",2,NA,20230603,1401,1453,NA,16.9613,0.529,NA,NA,72.6361,2.049,NA,NA,0.1313,NA,NA,NA
"158","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230603_15CM",2,NA,20230603,1401,1453,NA,16.9613,0.529,NA,NA,108.2974,3.0549,NA,NA,0.1957,NA,NA,NA
"159","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230603_15CM",2,NA,20230603,1401,1453,NA,17.8438,0.5566,NA,NA,72.6361,2.049,NA,NA,0.1313,NA,NA,NA
"160","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230603_15CM",2,NA,20230603,1401,1453,NA,17.8438,0.5566,NA,NA,108.2974,3.0549,NA,NA,0.1957,NA,NA,NA
"161","COMPASS","TEMPEST","SW","C6",15,NA,NA,"TMP_SW_C6_20230515_15CM",5,NA,20230515,1055,1525,NA,1.2634,0.0394,NA,NA,30.8629,0.8706,NA,NA,0.0558,NA,NA,NA
"162","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230518_15CM",5,NA,20230518,1533,1125,NA,0.7589,0.0237,NA,NA,28.6422,0.808,NA,NA,0.0518,NA,NA,NA
"163","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230515_15CM",5,NA,20230515,1115,1548,NA,1.325,0.0413,NA,NA,30.4506,0.859,NA,NA,0.0551,NA,NA,NA
"164","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230515_15CM",5,NA,20230515,1106,1559,NA,1.4835,0.0463,NA,NA,32.0722,0.9047,NA,NA,0.058,NA,NA,NA
"165","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230603_15CM",2,NA,20230603,1507,1528,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"166","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230603_15CM",2,NA,20230603,1507,1528,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"167","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230603_15CM",2,NA,20230603,1507,1528,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"168","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230603_15CM",2,NA,20230603,1507,1528,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"169","COMPASS","TEMPEST","SW","H6",15,NA,NA,"TMP_SW_H6_20230515_15CM",5,NA,20230515,1336,1615,NA,0.3839,0.012,NA,NA,28.1246,0.7934,NA,NA,0.0508,NA,NA,NA
"170","COMPASS","TEMPEST","FW","B4",15,NA,NA,"TMP_FW_B4_20230606_15CM",2,NA,20230606,1542,1630,NA,2.228,0.0695,NA,NA,173.8469,4.904,NA,NA,0.3142,NA,NA,NA
"171","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230606_15CM",5,NA,20230606,NA,1640,NA,12.2001,0.3805,NA,NA,27.3401,0.7712,NA,NA,0.0494,NA,NA,NA
"172","COMPASS","TEMPEST","FW","C6",15,NA,NA,"TMP_FW_C6_20230606_15CM",2,NA,20230606,NA,NA,NA,0.1956,0.0061,NA,NA,98.7008,2.7842,NA,NA,0.1784,NA,NA,"UNCLEAR IF THIS WAS A SAMPLE - IT COULD HAVE BEEN CROSSED OFF"
"173","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230606_15CM",5,NA,20230606,1547,1650,NA,2.7038,0.0843,NA,NA,30.2096,0.8522,NA,NA,0.0546,NA,NA,NA
"174","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230606_15CM",5,NA,20230606,1521,1716,NA,11.6992,0.3649,NA,NA,26.1745,0.7383,NA,NA,0.0473,NA,NA,NA
"175","COMPASS","TEMPEST","FW","F6",15,NA,NA,"TMP_FW_F6_20230606_15CM",NA,NA,20230606,NA,NA,NA,0.6646,0.0207,NA,NA,200.5441,5.6571,NA,NA,0.3624,NA,NA,NA
"176","COMPASS","TEMPEST","FW","H3",15,NA,NA,"TMP_FW_H3_20230606_15CM",2,NA,20230606,NA,1800,NA,2.6645,0.0831,NA,NA,157.5116,4.4432,NA,NA,0.2846,NA,NA,NA
"177","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230606_15CM",2,NA,20230606,NA,1736,NA,2.4067,0.0751,NA,NA,197.417,5.5689,NA,NA,0.3568,NA,NA,NA
"178","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230606_15CM",2,NA,20230606,NA,1745,NA,12.8534,0.4009,NA,NA,31.6279,0.8922,NA,NA,0.0572,NA,NA,NA
"179","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230606_15CM",5,NA,20230606,NA,1631,NA,391.7182,12.2183,NA,NA,3115.1523,87.8745,NA,NA,5.6291,NA,NA,NA
"180","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230606_15CM",5,NA,20230606,NA,1619,NA,370.9801,11.5714,NA,NA,3070.1995,86.6065,NA,NA,5.5479,NA,NA,NA
"181","COMPASS","TEMPEST","SW","C6",15,NA,NA,"TMP_SW_C6_20230606_15CM",5,NA,20230606,NA,1645,NA,110.9942,3.4621,NA,NA,1060.23,29.9078,NA,NA,1.9159,NA,NA,NA
"182","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230606_15CM",5,NA,20230606,NA,1748,NA,245.8095,7.6672,NA,NA,1925.595,54.3186,NA,NA,3.4796,NA,NA,NA
"183","COMPASS","TEMPEST","SW","E5",15,NA,NA,"TMP_SW_E3_20230606_15CM",5,NA,20230606,NA,1658,NA,319.0442,9.9515,NA,NA,2621.7744,73.957,NA,NA,4.7376,NA,NA,NA
"184","COMPASS","TEMPEST","SW","F4",15,NA,NA,"TMP_SW_F4_20230606_15CM",4,NA,20230606,NA,1709,NA,221.8389,6.9195,NA,NA,1951.5172,55.0499,NA,NA,3.5264,NA,NA,NA
"185","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230606_15CM",5,NA,20230606,NA,1740,NA,98.5531,3.074,NA,NA,986.1711,27.8186,NA,NA,1.782,NA,NA,NA
"186","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230606_15CM",5,NA,20230606,NA,1716,NA,253.6332,7.9112,NA,NA,2040.63,57.5636,NA,NA,3.6874,NA,NA,NA
"187","COMPASS","TEMPEST","SW","H6",15,NA,NA,"TMP_SW_H6_20230606_15CM",5,NA,20230606,NA,1731,NA,289.7861,9.0389,NA,NA,2333.7833,65.8331,NA,NA,4.2172,NA,NA,NA
"188","COMPASS","TEMPEST","SW","I5",15,NA,NA,"TMP_SW_I5_20230606_15CM",5,NA,20230606,NA,1722,NA,236.291,7.3703,NA,NA,2285.8504,64.481,NA,NA,4.1306,NA,NA,NA
"189","COMPASS","TEMPEST","FW","B4",15,NA,"AM","TMP_FW_B4_20230607_AM_15CM",5,NA,20230607,1630,934,NA,11.1494,0.3478,NA,NA,27.9934,0.7897,NA,NA,0.0506,NA,NA,NA
"190","COMPASS","TEMPEST","FW","B4",15,NA,"PM","TMP_FW_B4_20230607_PM_15CM",2,NA,20230607,934,1723,NA,2.4624,0.0768,NA,NA,206.4674,5.8242,NA,NA,0.3731,NA,NA,NA
"191","COMPASS","TEMPEST","FW","C3",15,NA,"AM","TMP_FW_C3_20230607_AM_15CM",5,NA,20230607,1640,902,NA,10.775,0.3361,NA,NA,23.9976,0.6769,NA,NA,0.0434,NA,NA,NA
"192","COMPASS","TEMPEST","FW","C3",15,NA,"PM","TMP_FW_C3_20230607_PM_15CM",5,NA,20230607,902,1734,NA,11.023,0.3438,NA,NA,21.6162,0.6098,NA,NA,0.0391,NA,NA,NA
"193","COMPASS","TEMPEST","FW","C6",15,NA,"PM","TMP_FW_C6_20230607_PM_15CM",2,NA,20230607,915,1717,NA,1.247,0.0389,NA,NA,110.0743,3.1051,NA,NA,0.1989,NA,NA,NA
"194","COMPASS","TEMPEST","FW","D5",15,NA,"AM","TMP_FW_D5_20230607_AM_15CM",5,NA,20230607,1650,921,NA,2.3655,0.0738,NA,NA,30.8671,0.8707,NA,NA,0.0558,NA,NA,NA
"195","COMPASS","TEMPEST","FW","D5",15,NA,"PM","TMP_FW_D5_20230607_PM_15CM",5,NA,20230607,921,1805,NA,2.9436,0.0918,NA,NA,27.9519,0.7885,NA,NA,0.0505,NA,NA,NA
"196","COMPASS","TEMPEST","FW","E3",15,NA,"AM","TMP_FW_E3_20230607_AM_15CM",2,NA,20230607,1705,852,NA,1.6662,0.052,NA,NA,109.9031,3.1002,NA,NA,0.1986,NA,NA,NA
"197","COMPASS","TEMPEST","FW","E3",15,NA,"PM","TMP_FW_E3_20230607_PM_15CM",2,NA,20230607,852,1743,NA,1.6618,0.0518,NA,NA,76.4921,2.1577,NA,NA,0.1382,NA,NA,NA
"198","COMPASS","TEMPEST","FW","F4",15,NA,"AM","TMP_FW_F4_20230607_AM_15CM",5,NA,20230607,1716,840,NA,10.7834,0.3364,NA,NA,22.9227,0.6466,NA,NA,0.0414,NA,NA,NA
"199","COMPASS","TEMPEST","FW","F4",15,NA,"PM","TMP_FW_F4_20230607_PM_15CM",5,NA,20230607,840,1754,NA,12.2291,0.3814,NA,NA,23.8567,0.673,NA,NA,0.0431,NA,NA,NA
"200","COMPASS","TEMPEST","FW","F6",15,NA,"PM","TMP_FW_F6_20230607_PM_15CM",2,NA,20230607,811,1711,NA,1.8635,0.0581,NA,NA,211.2593,5.9594,NA,NA,0.3818,NA,NA,NA
"201","COMPASS","TEMPEST","FW","H3",15,NA,"AM","TMP_FW_H3_20230607_AM_15CM",5,NA,20230607,1800,827,NA,10.042,0.3132,NA,NA,22.5561,0.6363,NA,NA,0.0408,NA,NA,NA
"202","COMPASS","TEMPEST","FW","H3",15,NA,"PM","TMP_FW_H3_20230607_PM_15CM",5,NA,20230607,827,1654,NA,9.9304,0.3097,NA,NA,23.7221,0.6692,NA,NA,0.0429,NA,NA,NA
"203","COMPASS","TEMPEST","FW","H6",15,NA,"AM","TMP_FW_H6_20230607_AM_15CM",5,NA,20230607,1736,815,NA,3.0646,0.0956,NA,NA,30.8028,0.8689,NA,NA,0.0557,NA,NA,NA
"204","COMPASS","TEMPEST","FW","H6",15,NA,"PM","TMP_FW_H6_20230607_PM_15CM",5,NA,20230607,815,1643,NA,10.5744,0.3298,NA,NA,23.1566,0.6532,NA,NA,0.0419,NA,NA,NA
"205","COMPASS","TEMPEST","FW","I5",15,NA,"AM","TMP_FW_I5_20230607_AM_15CM",5,NA,20230607,1745,801,NA,2.3636,0.0737,NA,NA,29.6801,0.8372,NA,NA,0.0537,NA,NA,NA
"206","COMPASS","TEMPEST","FW","I5",15,NA,"PM","TMP_FW_I5_20230607_PM_15CM",5,NA,20230607,801,1704,NA,10.9701,0.3422,NA,NA,23.0978,0.6516,NA,NA,0.0418,NA,NA,NA
"207","COMPASS","TEMPEST","SW","B4",15,NA,"AM","TMP_SW_B4_20230607_AM_15CM",5,NA,20230607,1631,902,NA,377.6524,11.7796,NA,NA,3087.8008,87.103,NA,NA,5.5797,NA,NA,"small bubbles in syringe"
"208","COMPASS","TEMPEST","SW","B4",15,NA,"PM","TMP_SW_B4_20230607_PM_15CM",5,NA,20230607,902,1723,NA,440.3089,13.7339,NA,NA,3507.0649,98.9299,NA,NA,6.3373,NA,NA,"bubbles in syringe"
"209","COMPASS","TEMPEST","SW","C3",15,NA,"AM","TMP_SW_C3_20230607_AM_15CM",5,NA,20230607,1619,851,NA,409.0203,12.758,NA,NA,3340.0572,94.2188,NA,NA,6.0355,NA,NA,NA
"210","COMPASS","TEMPEST","SW","C3",15,NA,"PM","TMP_SW_C3_20230607_PM_15CM",5,NA,20230607,815,1733,NA,434.1722,13.5425,NA,NA,3528.5845,99.5369,NA,NA,6.3762,NA,NA,NA
"211","COMPASS","TEMPEST","SW","C6",15,NA,"AM","TMP_SW_C6_20230607_AM_15CM",5,NA,20230607,1645,914,NA,191.714,5.9799,NA,NA,1712.0744,48.2955,NA,NA,3.0937,NA,NA,"small bubbles in syringe"
"212","COMPASS","TEMPEST","SW","C6",15,NA,"PM","TMP_SW_C6_20230607_PM_15CM",5,NA,20230607,914,1718,NA,211.2396,6.5889,NA,NA,1895.1985,53.4612,NA,NA,3.4246,NA,NA,"bubbles in syringe"
"213","COMPASS","TEMPEST","SW","D5",15,NA,"AM","TMP_SW_D5_20230607_AM_15CM",5,NA,20230607,1748,925,NA,293.4522,9.1532,NA,NA,2353.5321,66.3902,NA,NA,4.2529,NA,NA,"small bubbles in syringe"
"214","COMPASS","TEMPEST","SW","D5",15,NA,"PM","TMP_SW_D5_20230607_PM_15CM",5,NA,20230607,925,1711,NA,274.7726,8.5706,NA,NA,2345.3236,66.1586,NA,NA,4.238,NA,NA,"bubbles in syringe"
"215","COMPASS","TEMPEST","SW","E3",15,NA,"AM","TMP_SW_E3_20230607_AM_15CM",5,NA,20230607,1658,832,NA,307.0719,9.578,NA,NA,2632.0821,74.2477,NA,NA,4.7562,NA,NA,"small bubbles in syringe"
"216","COMPASS","TEMPEST","SW","E3",15,NA,"PM","TMP_SW_E3_20230607_PM_15CM",5,NA,20230607,823,1703,NA,259.0745,8.0809,NA,NA,2327.3879,65.6527,NA,NA,4.2056,NA,NA,"bubbles in syringe"
"217","COMPASS","TEMPEST","SW","F4",15,NA,"AM","TMP_SW_F4_20230607_AM_15CM",2,NA,20230607,1709,824,NA,302.8753,9.4471,NA,NA,2552.3805,71.9994,NA,NA,4.6122,NA,NA,"small bubbles in syringe"
"218","COMPASS","TEMPEST","SW","F4",15,NA,"PM","TMP_SW_F4_20230607_PM_15CM",3,NA,20230607,824,1658,NA,331.2376,10.3318,NA,NA,2631.1215,74.2206,NA,NA,4.7545,NA,NA,"bubbles in syringe"
"219","COMPASS","TEMPEST","SW","F6",15,NA,"AM","TMP_SW_F6_20230607_AM_15CM",5,NA,20230607,1740,817,NA,179.5693,5.601,NA,NA,2040.5184,57.5605,NA,NA,3.6872,NA,NA,NA
"220","COMPASS","TEMPEST","SW","F6",15,NA,"PM","TMP_SW_F6_20230607_PM_15CM",5,NA,20230607,817,1748,NA,241.3634,7.5285,NA,NA,2475.2435,69.8235,NA,NA,4.4728,NA,NA,"bubbles in syringe"
"221","COMPASS","TEMPEST","SW","H3",15,NA,"PM","TMP_SW_H3_20230607_PM_15CM",5,NA,20230607,843,1651,NA,417.903,13.035,NA,NA,3346.2074,94.3923,NA,NA,6.0466,NA,NA,"bubbles in syringe"
"222","COMPASS","TEMPEST","SW","H6",15,NA,"AM","TMP_SW_H6_20230607_AM_15CM",5,NA,20230607,1731,810,NA,328.6347,10.2506,NA,NA,2596.6389,73.2479,NA,NA,4.6922,NA,NA,"small bubbles in syringe"
"223","COMPASS","TEMPEST","SW","H6",15,NA,"PM","TMP_SW_H6_20230607_PM_15CM",5,NA,20230607,810,1634,NA,348.1968,10.8608,NA,NA,2769.4651,78.1231,NA,NA,5.0044,NA,NA,"bubbles in syringe"
"224","COMPASS","TEMPEST","SW","I5",15,NA,"AM","TMP_SW_I5_20230607_AM_15CM",5,NA,20230607,1722,758,NA,284.5868,8.8767,NA,NA,2842.5038,80.1835,NA,NA,5.1364,NA,NA,NA
"225","COMPASS","TEMPEST","SW","I5",15,NA,"PM","TMP_SW_I5_20230607_PM_15CM",5,NA,20230607,758,1645,NA,336.2264,10.4874,NA,NA,3120.4635,88.0244,NA,NA,5.6387,NA,NA,"bubbles in syringe"
"226","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230608_15CM",5,NA,20230608,1643,1543,NA,10.0574,0.3137,NA,NA,0,0,NA,NA,0,NA,NA,NA
"227","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230608_15CM",5,NA,20230608,1733,1405,NA,436.0629,13.6015,NA,NA,3597.9994,101.495,NA,NA,6.5016,NA,NA,"bubbles in syringe"
"228","COMPASS","TEMPEST","FW","B4",15,NA,NA,"TMP_FW_B4_20230608_15CM",3,NA,20230608,1723,1606,NA,28.2839,0.8822,NA,NA,0,0,NA,NA,0,NA,NA,NA
"229","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230608_15CM",5,NA,20230608,1734,1613,NA,11.6026,0.3619,NA,NA,24.1648,0.6817,NA,NA,0.0437,NA,NA,NA
"230","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230608_15CM",5,NA,20230608,1805,1555,NA,3.1147,0.0972,NA,NA,27.7577,0.783,NA,NA,0.0502,NA,NA,NA
"231","COMPASS","TEMPEST","FW","E3",15,NA,NA,"TMP_FW_E3_20230608_15CM",3,NA,20230608,1743,1624,NA,23.9154,0.746,NA,NA,0,0,NA,NA,0,NA,NA,NA
"232","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230608_15CM",5,NA,20230608,1754,1632,NA,11.3258,0.3533,NA,NA,24.0322,0.6779,NA,NA,0.0435,NA,NA,NA
"233","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230608_15CM",5,NA,20230608,1723,1415,NA,457.36,14.2658,NA,NA,3706.9076,104.5672,NA,NA,6.6984,NA,NA,"bubbles in syringe"
"234","COMPASS","TEMPEST","SW","C6",15,NA,NA,"TMP_SW_C6_20230608_15CM",3,NA,20230608,1718,1428,NA,230.3789,7.1859,NA,NA,2189.405,61.7604,NA,NA,3.9563,NA,NA,"bubbles in syringe"
"235","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230608_15CM",5,NA,20230608,1711,1435,NA,271.8114,8.4782,NA,NA,2363.8493,66.6812,NA,NA,4.2715,NA,NA,"bubbles in syringe"
"236","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230608_15CM",5,NA,20230608,1703,1330,NA,243.9557,7.6093,NA,NA,2299.434,64.8641,NA,NA,4.1551,NA,NA,"bubbles in syringe"
"237","COMPASS","TEMPEST","SW","F4",15,NA,NA,"TMP_SW_F4_20230608_15CM",5,NA,20230608,1658,1339,NA,331.4751,10.3392,NA,NA,2680.0956,75.6021,NA,NA,4.843,NA,NA,"bubbles in syringe"
"238","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230608_15CM",5,NA,20230608,1748,1319,NA,322.4074,10.0564,NA,NA,2978.7836,84.0277,NA,NA,5.3827,NA,NA,"bubbles in syringe"
"239","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230608_15CM",3,NA,20230608,1651,1343,NA,449.9766,14.0355,NA,NA,3516.9592,99.209,NA,NA,6.3552,NA,NA,"bubbles in syringe"
"240","COMPASS","TEMPEST","SW","H6",15,NA,NA,"TMP_SW_H6_20230608_15CM",3,NA,20230608,1634,1349,NA,355.9622,11.103,NA,NA,2795.8812,78.8683,NA,NA,5.0522,NA,NA,"bubbles in syringe"
"241","COMPASS","TEMPEST","SW","I5",15,NA,NA,"TMP_SW_I5_20230608_15CM",5,NA,20230608,1645,1356,NA,413.5339,12.8987,NA,NA,3579.4092,100.9706,NA,NA,6.468,NA,NA,"bubbles in syringe"
"242","COMPASS","TEMPEST","C","B4",15,NA,NA,"TMP_C_B4_20230810_15CM",5,NA,20230810,1121,1101,NA,3.8752,0.1209,NA,NA,0.0705,0.002,NA,NA,2e-04,NA,NA,NA
